step,type,country,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,unusuallogin,Acct type,Date of transaction,Time of day,DayOfWeek,IsFraud,errorBalanceOrig,errorBalanceDest,origBalanceWiped,destBalanceUnchanged,amountToBalanceRatio,isHighRiskType,nameDestIsMerchant
7,PAYMENT,Alemania,22295.62,C1679092632,0.0,0.0,M102373363,0.0,0.0,6,Savings,2018-01-13,Night,6.0,0,22295.62,-22295.62,0,1,22295.62,0,1
7,PAYMENT,Reino Unido,68824.38,C892155721,0.0,0.0,M440306536,0.0,0.0,7,Savings,2018-01-16,Morning,2.0,0,68824.38,-68824.38,0,1,68824.38,0,1
7,PAYMENT,Reino Unido,13303.29,C1496705948,0.0,0.0,M264686278,0.0,0.0,13,Savings,2018-01-19,Morning,5.0,0,13303.29,-13303.29,0,1,13303.29,0,1
7,PAYMENT,Reino Unido,6770.2,C1210018191,0.0,0.0,M1101963025,0.0,0.0,8,Savings,2018-01-05,Afternoon,5.0,0,6770.2,-6770.2,0,1,6770.2,0,1
7,PAYMENT,Alemania,17014.53,C1168376659,0.0,0.0,M871344084,0.0,0.0,12,Savings,2018-01-07,Afternoon,7.0,0,17014.53,-17014.53,0,1,17014.53,0,1
7,PAYMENT,Alemania,14260.56,C1041207,0.0,0.0,M896315952,0.0,0.0,10,Savings,2018-01-06,Morning,6.0,0,14260.56,-14260.56,0,1,14260.56,0,1
7,PAYMENT,Italia,5189.73,C1354203477,0.0,0.0,M505957776,0.0,0.0,10,Savings,2018-01-06,Night,6.0,0,5189.73,-5189.73,0,1,5189.73,0,1
7,PAYMENT,Espana,6913.23,C1640043321,0.0,0.0,M837603331,0.0,0.0,3,Savings,2018-01-08,Night,1.0,0,6913.23,-6913.23,0,1,6913.23,0,1
7,PAYMENT,Espana,3846.9,C1564299842,0.0,0.0,M27639992,0.0,0.0,20,Savings,2018-01-09,Afternoon,2.0,0,3846.9,-3846.9,0,1,3846.9,0,1
7,PAYMENT,Alemania,19050.04,C146214994,0.0,0.0,M658022908,0.0,0.0,20,Savings,2018-01-11,Afternoon,4.0,0,19050.04,-19050.04,0,1,19050.04,0,1
7,PAYMENT,Italia,1838.56,C499289190,0.0,0.0,M2140662115,0.0,0.0,19,Savings,2018-01-13,Afternoon,6.0,0,1838.56,-1838.56,0,1,1838.56,0,1
7,PAYMENT,Alemania,2418.83,C1112766156,0.0,0.0,M678449488,0.0,0.0,20,Savings,2018-01-06,Afternoon,6.0,0,2418.83,-2418.83,0,1,2418.83,0,1
7,PAYMENT,Francia,1194.12,C1799623198,0.0,0.0,M682788544,0.0,0.0,4,Savings,2018-01-08,Afternoon,1.0,0,1194.12,-1194.12,0,1,1194.12,0,1
7,PAYMENT,Reino Unido,1820.34,C1203180886,0.0,0.0,M1873983858,0.0,0.0,12,Savings,2018-01-11,Morning,4.0,0,1820.34,-1820.34,0,1,1820.34,0,1
7,PAYMENT,Reino Unido,14440.44,C1017472170,0.0,0.0,M1020745918,0.0,0.0,19,Savings,2018-01-19,Night,5.0,0,14440.44,-14440.44,0,1,14440.44,0,1
7,PAYMENT,Espana,18745.74,C1445905688,0.0,0.0,M1552771166,0.0,0.0,12,Savings,2018-01-25,Morning,4.0,0,18745.74,-18745.74,0,1,18745.74,0,1
7,PAYMENT,Austria,12489.85,C1260050257,0.0,0.0,M1292788772,0.0,0.0,10,Savings,2018-01-03,Morning,3.0,0,12489.85,-12489.85,0,1,12489.85,0,1
7,PAYMENT,Rusia,13337.69,C1460592187,0.0,0.0,M203607885,0.0,0.0,8,Savings,2018-01-06,Afternoon,6.0,0,13337.69,-13337.69,0,1,13337.69,0,1
7,PAYMENT,Cuba,4732.59,C374123858,0.0,0.0,M1536653994,0.0,0.0,11,Savings,2018-01-03,Afternoon,3.0,0,4732.59,-4732.59,0,1,4732.59,0,1
7,PAYMENT,Mexico,5803.86,C1774990192,0.0,0.0,M152177845,0.0,0.0,14,Savings,2018-01-05,Afternoon,5.0,0,5803.86,-5803.86,0,1,5803.86,0,1
7,PAYMENT,Brasil,44835.22,C406952631,0.0,0.0,M1603529730,0.0,0.0,2,Savings,2018-01-07,Morning,7.0,0,44835.22,-44835.22,0,1,44835.22,0,1
7,PAYMENT,Mexico,13854.48,C1472987955,0.0,0.0,M1310907099,0.0,0.0,5,Savings,2018-01-06,Morning,6.0,0,13854.48,-13854.48,0,1,13854.48,0,1
7,PAYMENT,Mexico,16782.56,C1520596362,0.0,0.0,M445735200,0.0,0.0,1,Savings,2018-01-06,Night,6.0,0,16782.56,-16782.56,0,1,16782.56,0,1
7,PAYMENT,Brasil,27007.74,C762522842,0.0,0.0,M1969217453,0.0,0.0,11,Savings,2018-01-08,Morning,1.0,0,27007.74,-27007.74,0,1,27007.74,0,1
7,PAYMENT,Cuba,16525.68,C422635759,0.0,0.0,M312082131,0.0,0.0,13,Savings,2018-01-10,Night,3.0,0,16525.68,-16525.68,0,1,16525.68,0,1
7,PAYMENT,Mexico,14815.88,C1773114251,0.0,0.0,M1287155721,0.0,0.0,12,Savings,2018-01-11,Night,4.0,0,14815.88,-14815.88,0,1,14815.88,0,1
7,PAYMENT,Honduras,973.96,C440755362,0.0,0.0,M359819227,0.0,0.0,15,Savings,2018-01-13,Afternoon,6.0,0,973.96,-973.96,0,1,973.96,0,1
7,PAYMENT,Republica Dominicana,1283.84,C1260431588,0.0,0.0,M1792339731,0.0,0.0,19,Savings,2018-01-03,Afternoon,3.0,0,1283.84,-1283.84,0,1,1283.84,0,1
7,PAYMENT,Guatemala,3421.25,C690490534,0.0,0.0,M2088388998,0.0,0.0,4,Savings,2018-01-05,Afternoon,5.0,0,3421.25,-3421.25,0,1,3421.25,0,1
7,PAYMENT,Brasil,4063.65,C852736357,0.0,0.0,M2142397531,0.0,0.0,3,Savings,2018-01-07,Afternoon,7.0,0,4063.65,-4063.65,0,1,4063.65,0,1
7,PAYMENT,Republica Dominicana,809.43,C370543159,0.0,0.0,M940459786,0.0,0.0,11,Savings,2018-01-06,Afternoon,6.0,0,809.43,-809.43,0,1,809.43,0,1
7,PAYMENT,Brasil,323.16,C398051839,0.0,0.0,M2068183023,0.0,0.0,14,Savings,2018-01-06,Afternoon,6.0,0,323.16,-323.16,0,1,323.16,0,1
7,PAYMENT,Republica Dominicana,5728.21,C1571036418,0.0,0.0,M400045995,0.0,0.0,1,Savings,2018-01-08,Afternoon,1.0,0,5728.21,-5728.21,0,1,5728.21,0,1
7,PAYMENT,India,6166.59,C2085001212,0.0,0.0,M151754389,0.0,0.0,3,Savings,2018-01-06,Morning,6.0,0,6166.59,-6166.59,0,1,6166.59,0,1
7,PAYMENT,Indonesia,2944.03,C501674653,0.0,0.0,M1217159306,0.0,0.0,16,Savings,2018-01-08,Night,1.0,0,2944.03,-2944.03,0,1,2944.03,0,1
7,PAYMENT,China,24936.23,C996955574,0.0,0.0,M1440753249,0.0,0.0,12,Savings,2018-01-09,Afternoon,2.0,0,24936.23,-24936.23,0,1,24936.23,0,1
7,PAYMENT,Indonesia,2981.14,C218353095,0.0,0.0,M1493446952,0.0,0.0,2,Savings,2018-01-11,Morning,4.0,0,2981.14,-2981.14,0,1,2981.14,0,1
7,PAYMENT,Nueva Zelanda,418.38,C510622757,0.0,0.0,M444542260,0.0,0.0,10,Savings,2018-01-19,Afternoon,5.0,0,418.38,-418.38,0,1,418.38,0,1
7,PAYMENT,Australia,36617.58,C589577152,0.0,0.0,M1997290658,0.0,0.0,1,Savings,2018-01-25,Morning,4.0,0,36617.58,-36617.58,0,1,36617.58,0,1
7,PAYMENT,Filipinas,10930.96,C308803634,0.0,0.0,M1897030087,0.0,0.0,1,Savings,2018-01-03,Night,3.0,0,10930.96,-10930.96,0,1,10930.96,0,1
7,PAYMENT,Turquia,18039.3,C1944759838,0.0,0.0,M1704289773,0.0,0.0,14,Savings,2018-01-05,Night,5.0,0,18039.3,-18039.3,0,1,18039.3,0,1
7,PAYMENT,Australia,936.44,C1209972485,0.0,0.0,M719383448,0.0,0.0,16,Savings,2018-01-07,Afternoon,7.0,0,936.44,-936.44,0,1,936.44,0,1
7,PAYMENT,Australia,5078.28,C207366788,0.0,0.0,M1118346479,0.0,0.0,10,Savings,2018-01-06,Night,6.0,0,5078.28,-5078.28,0,1,5078.28,0,1
7,PAYMENT,Myanmar (Birmania),5867.74,C172891303,0.0,0.0,M2101767929,0.0,0.0,8,Savings,2018-01-11,Night,4.0,0,5867.74,-5867.74,0,1,5867.74,0,1
7,PAYMENT,Turquia,8251.07,C449653268,0.0,0.0,M1412611602,0.0,0.0,14,Savings,2018-01-13,Afternoon,6.0,0,8251.07,-8251.07,0,1,8251.07,0,1
7,PAYMENT,Estados Unidos,7031.7,C2089609733,0.0,0.0,M2062646577,0.0,0.0,8,Savings,2018-01-25,Morning,4.0,0,7031.7,-7031.7,0,1,7031.7,0,1
7,PAYMENT,Estados Unidos,2638.93,C1686247174,0.0,0.0,M145371155,0.0,0.0,3,Savings,2018-01-19,Night,5.0,0,2638.93,-2638.93,0,1,2638.93,0,1
7,PAYMENT,Estados Unidos,2669.69,C1263629143,0.0,0.0,M1881845799,0.0,0.0,17,Savings,2018-01-07,Afternoon,7.0,0,2669.69,-2669.69,0,1,2669.69,0,1
7,PAYMENT,Estados Unidos,16038.8,C103634455,0.0,0.0,M143824997,0.0,0.0,20,Savings,2018-01-06,Morning,6.0,0,16038.8,-16038.8,0,1,16038.8,0,1
7,PAYMENT,Estados Unidos,4300.78,C2124224284,0.0,0.0,M974471358,0.0,0.0,4,Savings,2018-01-10,Afternoon,3.0,0,4300.78,-4300.78,0,1,4300.78,0,1
7,PAYMENT,Angola,5579.16,C1038993592,0.0,0.0,M1397931022,0.0,0.0,6,Savings,2018-01-25,Afternoon,4.0,0,5579.16,-5579.16,0,1,5579.16,0,1
7,PAYMENT,Alemania,30180.07,C913086738,0.0,0.0,M1653316341,0.0,0.0,10,Savings,2018-01-13,Afternoon,6.0,0,30180.07,-30180.07,0,1,30180.07,0,1
7,PAYMENT,Polonia,9302.99,C1609638725,0.0,0.0,M1581539326,0.0,0.0,3,Savings,2018-01-03,Morning,3.0,0,9302.99,-9302.99,0,1,9302.99,0,1
7,PAYMENT,Alemania,11703.97,C1962781165,0.0,0.0,M715117698,0.0,0.0,15,Savings,2018-01-05,Morning,5.0,0,11703.97,-11703.97,0,1,11703.97,0,1
7,PAYMENT,Francia,19608.07,C2091004319,0.0,0.0,M6634074,0.0,0.0,2,Savings,2018-01-07,Night,7.0,0,19608.07,-19608.07,0,1,19608.07,0,1
7,PAYMENT,Suecia,5275.62,C432953722,0.0,0.0,M1294054661,0.0,0.0,13,Savings,2018-01-06,Night,6.0,0,5275.62,-5275.62,0,1,5275.62,0,1
7,PAYMENT,Reino Unido,8809.29,C551705591,0.0,0.0,M167514715,0.0,0.0,12,Savings,2018-01-06,Afternoon,6.0,0,8809.29,-8809.29,0,1,8809.29,0,1
7,PAYMENT,Alemania,5698.67,C1645387671,0.0,0.0,M584816461,0.0,0.0,16,Savings,2018-01-08,Morning,1.0,0,5698.67,-5698.67,0,1,5698.67,0,1
7,PAYMENT,Reino Unido,7037.51,C273964290,0.0,0.0,M2043935641,0.0,0.0,12,Savings,2018-01-09,Night,2.0,0,7037.51,-7037.51,0,1,7037.51,0,1
7,PAYMENT,Reino Unido,6568.75,C1129991469,0.0,0.0,M624130540,0.0,0.0,2,Savings,2018-01-11,Afternoon,4.0,0,6568.75,-6568.75,0,1,6568.75,0,1
7,PAYMENT,Austria,8372.5,C913724364,0.0,0.0,M137670903,0.0,0.0,15,Savings,2018-01-13,Afternoon,6.0,0,8372.5,-8372.5,0,1,8372.5,0,1
7,PAYMENT,Reino Unido,2641.37,C1297978461,0.0,0.0,M1623406089,0.0,0.0,5,Savings,2018-01-19,Afternoon,5.0,0,2641.37,-2641.37,0,1,2641.37,0,1
7,PAYMENT,Francia,3956.77,C1631050884,0.0,0.0,M586261312,0.0,0.0,12,Savings,2018-01-25,Afternoon,4.0,0,3956.77,-3956.77,0,1,3956.77,0,1
7,PAYMENT,Honduras,3941.31,C938958527,0.0,0.0,M1453010953,0.0,0.0,16,Savings,2018-01-19,Morning,5.0,0,3941.31,-3941.31,0,1,3941.31,0,1
7,PAYMENT,Colombia,7396.44,C861554088,0.0,0.0,M692860601,0.0,0.0,7,Savings,2018-01-03,Morning,3.0,0,7396.44,-7396.44,0,1,7396.44,0,1
7,PAYMENT,Cuba,5920.5,C1797491066,0.0,0.0,M1088236798,0.0,0.0,14,Savings,2018-01-05,Morning,5.0,0,5920.5,-5920.5,0,1,5920.5,0,1
7,PAYMENT,Honduras,2327.84,C813408648,0.0,0.0,M888391968,0.0,0.0,20,Savings,2018-01-08,Afternoon,1.0,0,2327.84,-2327.84,0,1,2327.84,0,1
7,PAYMENT,Haiti,1623.0,C681101069,0.0,0.0,M247888865,0.0,0.0,14,Savings,2018-01-25,Afternoon,4.0,0,1623.0,-1623.0,0,1,1623.0,0,1
7,PAYMENT,El Salvador,14279.36,C1733034446,0.0,0.0,M1267443383,0.0,0.0,3,Savings,2018-01-25,Afternoon,4.0,0,14279.36,-14279.36,0,1,14279.36,0,1
7,PAYMENT,Mexico,12687.23,C1352532563,0.0,0.0,M1821332066,0.0,0.0,8,Savings,2018-01-03,Afternoon,3.0,0,12687.23,-12687.23,0,1,12687.23,0,1
7,PAYMENT,El Salvador,267.33,C1808428108,0.0,0.0,M2112012700,0.0,0.0,11,Savings,2018-01-05,Afternoon,5.0,0,267.33,-267.33,0,1,267.33,0,1
7,PAYMENT,Nicaragua,5672.99,C1573832937,0.0,0.0,M1271176560,0.0,0.0,4,Savings,2018-01-07,Afternoon,7.0,0,5672.99,-5672.99,0,1,5672.99,0,1
7,PAYMENT,Brasil,14978.23,C1934897224,0.0,0.0,M408023455,0.0,0.0,15,Savings,2018-01-06,Afternoon,6.0,0,14978.23,-14978.23,0,1,14978.23,0,1
7,PAYMENT,El Salvador,14731.43,C246903361,0.0,0.0,M427665153,0.0,0.0,4,Savings,2018-01-08,Night,1.0,0,14731.43,-14731.43,0,1,14731.43,0,1
7,PAYMENT,Mexico,10236.7,C905774041,0.0,0.0,M2004057662,0.0,0.0,11,Savings,2018-01-09,Afternoon,2.0,0,10236.7,-10236.7,0,1,10236.7,0,1
7,PAYMENT,El Salvador,3032.91,C1802302401,0.0,0.0,M117629468,0.0,0.0,16,Savings,2018-01-11,Afternoon,4.0,0,3032.91,-3032.91,0,1,3032.91,0,1
7,PAYMENT,Cuba,14298.19,C1760459579,0.0,0.0,M362427044,0.0,0.0,9,Savings,2018-01-19,Afternoon,5.0,0,14298.19,-14298.19,0,1,14298.19,0,1
7,PAYMENT,Mexico,3157.28,C1290483339,0.0,0.0,M500979799,0.0,0.0,16,Savings,2018-01-25,Morning,4.0,0,3157.28,-3157.28,0,1,3157.28,0,1
7,PAYMENT,Mexico,21227.0,C116449140,0.0,0.0,M1119605276,0.0,0.0,6,Savings,2018-01-03,Morning,3.0,0,21227.0,-21227.0,0,1,21227.0,0,1
7,PAYMENT,Honduras,2268.74,C1475476398,0.0,0.0,M680533991,0.0,0.0,14,Savings,2018-01-05,Night,5.0,0,2268.74,-2268.74,0,1,2268.74,0,1
7,PAYMENT,Brasil,1417.84,C681279230,0.0,0.0,M883716803,0.0,0.0,12,Savings,2018-01-07,Morning,7.0,0,1417.84,-1417.84,0,1,1417.84,0,1
7,PAYMENT,Republica Dominicana,6454.56,C1826145139,0.0,0.0,M1151309352,0.0,0.0,9,Savings,2018-01-06,Morning,6.0,0,6454.56,-6454.56,0,1,6454.56,0,1
7,PAYMENT,Mexico,3442.37,C931163339,0.0,0.0,M1617767058,0.0,0.0,5,Savings,2018-01-06,Night,6.0,0,3442.37,-3442.37,0,1,3442.37,0,1
7,PAYMENT,Brasil,7898.5,C1187025844,0.0,0.0,M1341130820,0.0,0.0,8,Savings,2018-01-09,Afternoon,2.0,0,7898.5,-7898.5,0,1,7898.5,0,1
7,PAYMENT,Republica Dominicana,6159.12,C41646355,0.0,0.0,M1300689712,0.0,0.0,4,Savings,2018-01-11,Night,4.0,0,6159.12,-6159.12,0,1,6159.12,0,1
7,PAYMENT,Mexico,1784.87,C655954847,0.0,0.0,M1576827711,0.0,0.0,15,Savings,2018-01-13,Afternoon,6.0,0,1784.87,-1784.87,0,1,1784.87,0,1
7,PAYMENT,Guatemala,19895.93,C459545751,0.0,0.0,M2131124126,0.0,0.0,14,Savings,2018-01-16,Afternoon,2.0,0,19895.93,-19895.93,0,1,19895.93,0,1
7,PAYMENT,Honduras,11079.34,C275529226,0.0,0.0,M779586235,0.0,0.0,5,Savings,2018-01-19,Afternoon,5.0,0,11079.34,-11079.34,0,1,11079.34,0,1
7,PAYMENT,Panama,11527.48,C1262516935,0.0,0.0,M1281024621,0.0,0.0,10,Savings,2018-01-05,Afternoon,5.0,0,11527.48,-11527.48,0,1,11527.48,0,1
7,PAYMENT,Brasil,5783.05,C1433988478,0.0,0.0,M1574257199,0.0,0.0,6,Savings,2018-01-07,Night,7.0,0,5783.05,-5783.05,0,1,5783.05,0,1
7,PAYMENT,Honduras,11454.41,C361467152,0.0,0.0,M240733254,0.0,0.0,4,Savings,2018-01-06,Night,6.0,0,11454.41,-11454.41,0,1,11454.41,0,1
7,PAYMENT,Mexico,13117.45,C483939310,0.0,0.0,M1802219104,0.0,0.0,13,Savings,2018-01-06,Afternoon,6.0,0,13117.45,-13117.45,0,1,13117.45,0,1
7,PAYMENT,Honduras,7663.31,C583093520,0.0,0.0,M1723731570,0.0,0.0,6,Savings,2018-01-08,Morning,1.0,0,7663.31,-7663.31,0,1,7663.31,0,1
7,PAYMENT,Panama,1309.47,C942106216,0.0,0.0,M235521954,0.0,0.0,18,Savings,2018-01-09,Afternoon,2.0,0,1309.47,-1309.47,0,1,1309.47,0,1
7,PAYMENT,El Salvador,5680.34,C860144087,0.0,0.0,M1940927690,0.0,0.0,13,Savings,2018-01-11,Night,4.0,0,5680.34,-5680.34,0,1,5680.34,0,1
7,PAYMENT,Brasil,1945.7,C708956538,0.0,0.0,M1487255196,0.0,0.0,7,Savings,2018-01-13,Afternoon,6.0,0,1945.7,-1945.7,0,1,1945.7,0,1
